"","id","YEAR","CAUSE","NUM_U"
"191","NM",2009,"U",706
"192","NV",2009,"U",458
"193","NY",2009,"U",1232
"194","OH",2009,"U",4573
"195","OK",2009,"U",2836
"196","OR",2009,"U",3356
"197","PA",2009,"U",795
"198","RI",2009,"U",123
"199","SC",2009,"U",1848
"200","SD",2009,"U",142
"201","TN",2009,"U",2129
"202","TX",2009,"U",8544
"203","UT",2009,"U",408
"204","VA",2009,"U",1866
"205","VT",2009,"U",103
"206","WA",2009,"U",1948
"207","WI",2009,"U",656
"208","WV",2009,"U",606
"209","WY",2009,"U",102
"210","AK",2010,"U",162
"211","AL",2010,"U",1489
"212","AR",2010,"U",2012
"213","AZ",2010,"U",952
"214","CA",2010,"U",4750
"215","CO",2010,"U",1753
"216","CT",2010,"U",1574
"217","DC",2010,"U",38
"218","DE",2010,"U",285
"219","FL",2010,"U",4424
"220","GA",2010,"U",4902
"221","HI",2010,"U",387
"222","IA",2010,"U",484
"223","ID",2010,"U",540
"224","IL",2010,"U",3354
"225","IN",2010,"U",2007
"226","KS",2010,"U",837
"227","KY",2010,"U",2203
"228","LA",2010,"U",3091
"229","MA",2010,"U",2697
"230","MD",2010,"U",1400
"231","ME",2010,"U",301
"232","MI",2010,"U",1602
"233","MN",2010,"U",931
"234","MO",2010,"U",2150
"235","MS",2010,"U",2060
"236","MT",2010,"U",325
"237","NA",2010,"U",4
"238","NC",2010,"U",3445
"239","ND",2010,"U",121
"240","NE",2010,"U",230
"241","NH",2010,"U",641
"242","NJ",2010,"U",2511
"243","NM",2010,"U",725
"244","NV",2010,"U",428
"245","NY",2010,"U",1042
"246","OH",2010,"U",4473
"247","OK",2010,"U",2365
"248","OR",2010,"U",709
"249","PA",2010,"U",2081
"250","RI",2010,"U",177
"251","SC",2010,"U",3225
"252","SD",2010,"U",122
"253","TN",2010,"U",2477
"254","TX",2010,"U",7430
"255","UT",2010,"U",299
"256","VA",2010,"U",2301
"257","VT",2010,"U",87
"258","WA",2010,"U",1460
"259","WI",2010,"U",594
"260","WV",2010,"U",593
"261","WY",2010,"U",82
"262","AK",2011,"U",201
"263","AL",2011,"U",1678
"264","AR",2011,"U",1748
"265","AZ",2011,"U",924
"266","CA",2011,"U",4941
"267","CO",2011,"U",1554
"268","CT",2011,"U",1158
"269","DC",2011,"U",89
"270","DE",2011,"U",174
"271","FL",2011,"U",4346
"272","GA",2011,"U",5664
"273","HI",2011,"U",319
"274","IA",2011,"U",635
"275","ID",2011,"U",468
"276","IL",2011,"U",2969
"277","IN",2011,"U",1538
"278","KS",2011,"U",1165
"279","KY",2011,"U",1631
"280","LA",2011,"U",3922
"281","MA",2011,"U",1882
"282","MD",2011,"U",1209
"283","ME",2011,"U",241
"284","MI",2011,"U",1408
"285","MN",2011,"U",943
"286","MO",2011,"U",2080
"287","MS",2011,"U",1840
"288","MT",2011,"U",338
"289","NA",2011,"U",11
"290","NC",2011,"U",3143
"291","ND",2011,"U",116
"292","NE",2011,"U",244
"293","NH",2011,"U",406
"294","NJ",2011,"U",1716
"295","NM",2011,"U",904
"296","NV",2011,"U",456
"297","NY",2011,"U",968
"298","OH",2011,"U",3041
"299","OK",2011,"U",3598
"300","OR",2011,"U",858
"301","PA",2011,"U",1696
"302","RI",2011,"U",155
"303","SC",2011,"U",3083
"304","SD",2011,"U",96
"305","TN",2011,"U",2146
"306","TX",2011,"U",11241
"307","UT",2011,"U",378
"308","VA",2011,"U",1808
"309","VT",2011,"U",62
"310","WA",2011,"U",1428
"311","WI",2011,"U",643
"312","WV",2011,"U",478
"313","WY",2011,"U",100
"314","AK",2012,"U",201
"315","AL",2012,"U",1206
"316","AR",2012,"U",2232
"317","AZ",2012,"U",691
"318","CA",2012,"U",3640
"319","CO",2012,"U",1169
"320","CT",2012,"U",1321
"321","DC",2012,"U",84
"322","DE",2012,"U",224
"323","FL",2012,"U",3808
"324","GA",2012,"U",4528
"325","HI",2012,"U",345
"326","IA",2012,"U",618
"327","ID",2012,"U",473
"328","IL",2012,"U",3699
"329","IN",2012,"U",1925
"330","KS",2012,"U",1383
"331","KY",2012,"U",1713
"332","LA",2012,"U",2485
"333","MA",2012,"U",2615
"334","MD",2012,"U",1228
"335","ME",2012,"U",312
"336","MI",2012,"U",1700
"337","MN",2012,"U",1097
"338","MO",2012,"U",2501
"339","MS",2012,"U",1345
"340","MT",2012,"U",364
"341","NC",2012,"U",2343
"342","ND",2012,"U",193
"343","NE",2012,"U",310
"344","NH",2012,"U",479
"345","NJ",2012,"U",1719
"346","NM",2012,"U",686
"347","NV",2012,"U",421
"348","NY",2012,"U",1506
"349","OH",2012,"U",3879
"350","OK",2012,"U",2683
"351","OR",2012,"U",958
"352","PA",2012,"U",1648
"353","RI",2012,"U",144
"354","SC",2012,"U",2436
"355","SD",2012,"U",86
"356","TN",2012,"U",2165
"357","TX",2012,"U",7032
"358","UT",2012,"U",452
"359","VA",2012,"U",1695
"360","VT",2012,"U",102
"361","WA",2012,"U",1296
"362","WI",2012,"U",757
"363","WV",2012,"U",552
"364","WY",2012,"U",78
"365","AK",2013,"U",266
"366","AL",2013,"U",976
"367","AR",2013,"U",1570
"368","AZ",2013,"U",939
